increment,branch,stress_component,order,directions,direction_pattern,step_factor,step,fd_value,fd_value_normalized,invariant_across_stencil,oti_derivative,reference_classification
1,elastic,1,4,1|1|1|1,repeated,16.0,0.0064,-82951.81606644392,-8.295181606644393e-05,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,8.0,0.0032,-154850.4577293396,-0.00015485045772933962,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,4.0,0.0016,-61810.21500301361,-6.181021500301361e-05,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,2.0,0.0008,0.01593017578125,1.593017578125e-11,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,1.0,0.0004,1.1376953125,1.1376953125e-09,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,0.5,0.0002,12.203125,1.2203125e-08,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,0.25,0.0001,195.0,1.9499999999999999e-07,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,0.125,5e-05,1072.0,1.072e-06,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,0.0625,2.5e-05,25408.0,2.5408e-05,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,16.0,0.0064,47923.67532132278,4.7923675321322784e-05,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,8.0,0.0032,104445.34520836035,0.00010444534520836034,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,4.0,0.0016,39615.2289974466,3.9615228997446595e-05,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,2.0,0.0008,0.00046122074127197266,4.612207412719727e-13,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,1.0,0.0004,0.14690589904785156,1.4690589904785158e-10,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,0.5,0.0002,1.584869384765625,1.5848693847656252e-09,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,0.25,0.0001,25.21728515625,2.521728515625e-08,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,0.125,5e-05,406.5390625,4.0653906250000003e-07,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,0.0625,2.5e-05,6464.625,6.464625000000001e-06,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,16.0,0.0064,35028.140754431486,3.502814075443149e-05,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,8.0,0.0032,50405.11277341843,5.040511277341843e-05,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,4.0,0.0016,22194.98845767975,2.219498845767975e-05,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,2.0,0.0008,0.0018444061279296875,1.8444061279296875e-12,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,1.0,0.0004,0.278564453125,2.7856445312500004e-10,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,0.5,0.0002,5.89453125,5.8945312499999995e-09,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,0.25,0.0001,56.0625,5.60625e-08,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,0.125,5e-05,897.0,8.97e-07,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,0.0625,2.5e-05,18448.0,1.8448e-05,False,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|1|1,repeated,16.0,0.0064,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|1|1,repeated,8.0,0.0032,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|1|1,repeated,4.0,0.0016,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|1|1,repeated,2.0,0.0008,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|1|1,repeated,1.0,0.0004,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|1|1,repeated,0.5,0.0002,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|1|1,repeated,0.25,0.0001,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|1|1,repeated,0.125,5e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|1|1,repeated,0.0625,2.5e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|2,mixed,16.0,0.0064,318.2929572035766,3.182929572035766e-05,False,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|2,mixed,8.0,0.0032,-426.4506026539584,-4.2645060265395846e-05,False,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|2,mixed,4.0,0.0016,-42.50317527659081,-4.250317527659082e-06,False,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|2,mixed,2.0,0.0008,0.014666390654383576,1.4666390654383578e-09,False,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|2,mixed,1.0,0.0004,-2.09860154427588e-05,-2.0986015442758803e-12,False,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|2,mixed,0.5,0.0002,-8.191540837287903e-05,-8.191540837287905e-12,False,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|2,mixed,0.25,0.0001,0.000860460102558136,8.604601025581362e-11,False,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|2,mixed,0.125,5e-05,0.0017094612121582031,1.7094612121582033e-10,False,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|2,mixed,0.0625,2.5e-05,0.023885726928710938,2.3885726928710942e-09,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|2,mixed,16.0,0.0064,-296.8427514660142,-2.9684275146601428e-05,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|2,mixed,8.0,0.0032,399.61747541920045,3.996174754192005e-05,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|2,mixed,4.0,0.0016,43.77545885034942,4.377545885034943e-06,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|2,mixed,2.0,0.0008,-0.012583792085933965,-1.2583792085933967e-09,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|2,mixed,1.0,0.0004,-8.005008567124605e-08,-8.005008567124606e-15,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|2,mixed,0.5,0.0002,-1.3545039109885693e-05,-1.3545039109885695e-12,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|2,mixed,0.25,0.0001,5.739904008805752e-05,5.739904008805753e-12,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|2,mixed,0.125,5e-05,-0.00012379512190818787,-1.2379512190818788e-11,False,0.0,expected_zero_independently_supported
1,elastic,2,3,1|1|2,mixed,0.0625,2.5e-05,-0.0008692033588886261,-8.692033588886262e-11,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|2,mixed,16.0,0.0064,-21.450205710948353,-2.1450205710948355e-06,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|2,mixed,8.0,0.0032,26.83312727422043,2.6833127274220434e-06,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|2,mixed,4.0,0.0016,-1.272284027994374,-1.272284027994374e-07,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|2,mixed,2.0,0.0008,-0.002078935824101791,-2.0789358241017912e-10,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|2,mixed,1.0,0.0004,7.66522134654224e-09,7.66522134654224e-16,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|2,mixed,0.5,0.0002,-1.6812467947602272e-05,-1.6812467947602273e-12,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|2,mixed,0.25,0.0001,-0.0005945097655057907,-5.945097655057907e-11,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|2,mixed,0.125,5e-05,0.0021847039461135864,2.1847039461135867e-10,False,0.0,expected_zero_independently_supported
1,elastic,3,3,1|1|2,mixed,0.0625,2.5e-05,0.034775614738464355,3.4775614738464364e-09,False,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|2,mixed,16.0,0.0064,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|2,mixed,8.0,0.0032,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|2,mixed,4.0,0.0016,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|2,mixed,2.0,0.0008,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|2,mixed,1.0,0.0004,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|2,mixed,0.5,0.0002,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|2,mixed,0.25,0.0001,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|2,mixed,0.125,5e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,3,1|1|2,mixed,0.0625,2.5e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|2|2,mixed,16.0,0.0064,-77755.39907453136,-7.775539907453136e-05,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|2|2,mixed,8.0,0.0032,123259.25710649227,0.00012325925710649229,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|2|2,mixed,4.0,0.0016,-7949.139311897685,-7.949139311897685e-06,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|2|2,mixed,2.0,0.0008,-9.16599807376042,-9.16599807376042e-09,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|2|2,mixed,1.0,0.0004,0.19502639770507812,1.950263977050781e-10,False,0.0,expected_zero_independently_supported
