increment,branch,stress_component,order,directions,direction_pattern,step_factor,step,fd_value,fd_value_normalized,invariant_across_stencil,oti_derivative,reference_classification
1,elastic,1,4,1|1|1|1,repeated,0.0625,2.5e-06,1677721600.0,6.990506666666668e-06,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,16.0,0.00064,303574831454512.9,1.2648951310604706,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,8.0,0.00032,766416936823719.8,3.193403903432166,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,4.0,0.00016,276250916847954.72,1.1510454868664783,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,2.0,8e-05,47.434326171875,1.9764302571614586e-13,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,1.0,4e-05,-1001.05078125,-4.1710449218750005e-12,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,0.5,2e-05,16751.1875,6.979661458333336e-11,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,0.25,1e-05,-12557.0,-5.232083333333334e-11,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,0.125,5e-06,-217296.0,-9.054000000000002e-10,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,0.0625,2.5e-06,5174016.0,2.1558400000000005e-08,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,16.0,0.00064,215167760562641.1,0.8965323356776713,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,8.0,0.00032,351138752480330.94,1.4630781353347124,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,4.0,0.00016,145211323153801.25,0.6050471798075053,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,2.0,8e-05,1114.0,4.641666666666668e-12,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,1.0,4e-05,-15808.0,-6.586666666666667e-11,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,0.5,2e-05,-256000.0,-1.066666666666667e-09,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,0.25,1e-05,-4341760.0,-1.809066666666667e-08,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,0.125,5e-06,68943872.0,2.8726613333333336e-07,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,0.0625,2.5e-06,-1115684864.0,-4.6486869333333346e-06,False,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|1|1,repeated,16.0,0.00064,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|1|1,repeated,8.0,0.00032,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|1|1,repeated,4.0,0.00016,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|1|1,repeated,2.0,8e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|1|1,repeated,1.0,4e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|1|1,repeated,0.5,2e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|1|1,repeated,0.25,1e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|1|1,repeated,0.125,5e-06,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|1|1,repeated,0.0625,2.5e-06,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|2,mixed,16.0,0.00064,215108061612.7726,0.8962835900532192,False,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|2,mixed,8.0,0.00032,-279841340894.6556,-1.166005587061065,False,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|2,mixed,4.0,0.00016,-24068941485.53799,-0.10028725618974163,False,0.0,expected_zero_independently_supported
1,elastic,1,3,1|1|2,mixed,2.0,8e-05,14672435.81992197,6.113514924967488e-05,False,0.0,expected_zero_independently_supported
