increment,branch,stress_component,order,directions,direction_pattern,step_factor,step,fd_value,fd_value_normalized,invariant_across_stencil,oti_derivative,reference_classification
1,elastic,6,3,1|1|1,repeated,8.0,0.00016,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,6,3,1|1|1,repeated,4.0,8e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,6,3,1|1|1,repeated,2.0,4e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,6,3,1|1|1,repeated,1.0,2e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,6,3,1|1|1,repeated,0.5,1e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,6,3,1|1|1,repeated,0.25,5e-06,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,6,3,1|1|1,repeated,0.125,2.5e-06,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,6,3,1|1|1,repeated,0.0625,1.25e-06,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,16.0,0.00032,6.409508228387864e-65,2.563803291355146e-79,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,8.0,0.00016,1.9940692266095577e-64,7.976276906438233e-79,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,4.0,8e-05,7.520489654641761e-63,3.008195861856705e-77,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,2.0,4e-05,1.6013325446449325e-61,6.405330178579732e-76,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,1.0,2e-05,5.418398849356439e-60,2.167359539742576e-74,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,0.5,1e-05,8.55664600705907e-61,3.4226584028236286e-75,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,0.25,5e-06,3.522226647269406e-58,1.4088906589077628e-72,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,0.125,2.5e-06,1.5831350866878745e-56,6.332540346751499e-71,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|1|1,repeated,0.0625,1.25e-06,4.906723086287953e-56,1.9626892345151815e-70,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,16.0,0.00032,-5.816035244277877e-65,-2.3264140977111513e-79,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,8.0,0.00016,7.121675809319849e-64,2.84867032372794e-78,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,4.0,8e-05,-1.5192908393215678e-64,-6.077163357286273e-79,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,2.0,4e-05,3.539947655619253e-62,1.4159790622477013e-76,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,1.0,2e-05,1.0574264241678112e-61,4.229705696671245e-76,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,0.5,1e-05,-2.566993802117721e-60,-1.0267975208470887e-74,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,0.25,5e-06,3.7960393194952964e-59,1.5184157277981187e-73,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,0.125,2.5e-06,4.480571000060022e-58,1.792228400024009e-72,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|1|1,repeated,0.0625,1.25e-06,9.717860657907959e-57,3.887144263163184e-71,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,16.0,0.00032,-5.816035244277877e-65,-2.3264140977111513e-79,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,8.0,0.00016,7.121675809319849e-64,2.84867032372794e-78,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,4.0,8e-05,-1.5192908393215678e-64,-6.077163357286273e-79,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,2.0,4e-05,3.539947655619253e-62,1.4159790622477013e-76,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,1.0,2e-05,1.0574264241678112e-61,4.229705696671245e-76,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,0.5,1e-05,-2.566993802117721e-60,-1.0267975208470887e-74,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,0.25,5e-06,3.7960393194952964e-59,1.5184157277981187e-73,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,0.125,2.5e-06,4.480571000060022e-58,1.792228400024009e-72,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|1|1,repeated,0.0625,1.25e-06,9.717860657907959e-57,3.887144263163184e-71,False,0.0,expected_zero_independently_supported
