source,repository,bytes,lines,form,kinematics,ntens,nstatv_hint,anchor_status,helper_routines,declared_unsupported,stage,blocker_kind,blocker,original_compiles,compiled,compile_error,seconds
InstituteOfMechanics__Paraqus/examples/example_abaqus_extrusion_umat.f,examples,32622,871,fixed,finite,6,33,ready_with_json_contract,20,io_write,transformed,none,,yes,yes,,1.78
InstituteOfMechanics__Phase_Trafos_Carbon_Repartitioning/simulations/UMAT/umat_main.f,UMAT,10064,249,fixed,,,,,0,,not_a_umat,not_a_umat,the scanner finds no UMAT subroutine in this file,,,,0.02
InstituteOfMechanics__Thermomechanical_Gradient_Enhanced_Damage_UMAT/src/UMAT_DamThermMech_1_H.f,src,90222,2352,fixed,finite,6,52,ready_with_json_contract,41,io_write,blocked,missing_ddsdde_extraction_point,"DDSDDE assignment is not covered by an old tangent replacement region: DDSDDE = 0.0d0; DDSDDE assignment is not covered by an old tangent replacement region: DDSDDE(1,1) = ABATAN(1,1,1,1); DDSDDE assignment is not covered by an old tangent replacement region: DDSDDE(1,2) = ABATAN(1,1,2,2); DDSDDE as",,,,0.69
Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Axe.for,2Dto2D,10319,281,fixed,finite,6,36,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.57
Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Disk.for,2Dto2D,10221,280,fixed,finite,6,36,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.66
Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto2D/From-2D-to-2D-Scallop.for,2Dto2D,10302,281,fixed,finite,6,36,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.6
Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto3D/From-2D-to-3D-DupinCyclide.for,2Dto3D,32379,653,fixed,finite,6,42,ready_with_json_contract,1,,transformed,none,,yes,yes,,4.07
Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto3D/From-2D-to-3D-Genhel.for,2Dto3D,14033,363,fixed,finite,6,43,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.85
Jeff97__General-shape-control-of-shell/Abaqus_Files/2Dto3D/From-2D-to-3D-Saddle.for,2Dto3D,10216,280,fixed,finite,6,38,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.72
Jeff97__General-shape-control-of-shell/Abaqus_Files/3Dto3D/From-3D-to-3D-Petal.for,3Dto3D,14644,369,fixed,finite,6,59,ready_with_json_contract,1,,transformed,none,,yes,yes,,1.9
Jeff97__General-shape-control-of-shell/Abaqus_Files/3Dto3D/From-3D-to-3D-SeaShell.for,3Dto3D,21646,510,fixed,finite,6,77,ready_with_json_contract,1,,transformed,none,,yes,yes,,2.23
Jeff97__General-shape-control-of-shell/Abaqus_Files/Alex_Shocked/Growth-Alex.for,Alex_Shocked,17357,459,fixed,finite,6,66,ready_with_json_contract,1,data;io_open;io_read;save,transformed,none,,yes,yes,,1.88
Jeff97__General-shape-control-of-shell/Abaqus_Files/Beetle_Taxi/Growth-Car.for,Beetle_Taxi,17457,464,fixed,finite,6,65,ready_with_json_contract,1,data;io_open;io_read;save,transformed,none,,yes,yes,,1.92
Jeff97__General-shape-control-of-shell/Abaqus_Files/FaceChange/Growth-Robot.for,FaceChange,26143,653,fixed,finite,6,89,ready_with_json_contract,1,data;io_open;io_read;save,transformed,none,,yes,yes,,2.32
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/BodyForce-Growth-2Stages.for,Th001,19416,608,fixed,finite,6,28,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.83
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/PureGravity.for,Th001,18617,580,fixed,finite,6,24,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.61
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th001/PureGrowth.for,Th001,18499,578,fixed,finite,6,25,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.79
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th002/BodyForce-Growth-2Stages.for,Th002,19424,609,fixed,finite,6,28,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.76
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th002/PureGravity.for,Th002,18616,580,fixed,finite,6,24,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.74
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th002/PureGrowth.for,Th002,18498,578,fixed,finite,6,25,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.69
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th005/BodyForce-Growth-2Stages.for,Th005,19417,609,fixed,finite,6,28,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.77
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th005/PureGrowth.for,Th005,18499,578,fixed,finite,6,25,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.73
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th005-Visualization/BodyForce-Growth-2Stages.for,Th005-Visualization,19278,607,fixed,finite,6,26,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.8
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th01/BodyForce-Growth-2Stages.for,Th01,19493,610,fixed,finite,6,28,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.82
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th01/PureGravity.for,Th01,18616,580,fixed,finite,6,24,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.74
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcDown/Th01/PureGrowth.for,Th01,18498,578,fixed,finite,6,25,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.7
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcUp/Th001/BodyForce-Growth-2Stages.for,Th001,19531,613,fixed,finite,6,28,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.76
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcUp/Th001/PureGrowth.for,Th001,18500,578,fixed,finite,6,25,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.72
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcUp/Th002/BodyForce-Growth-2Stages.for,Th002,19539,614,fixed,finite,6,28,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.76
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcUp/Th002/PureGrowth.for,Th002,18499,578,fixed,finite,6,25,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.87
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcUp/Th005/BodyForce-Growth-2Stages.for,Th005,19532,614,fixed,finite,6,28,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.78
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcUp/Th005/PureGrowth.for,Th005,18500,578,fixed,finite,6,25,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.77
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcUp/Th005-Visualization/BodyForce-Growth-2Stages.for,Th005-Visualization,19374,607,fixed,finite,6,26,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.77
Jeff97__Programming-Plane-Strain-Plates-through-Growth-Under-Body-Forces/Examples-In-Section-3/ArcUp/Th01/BodyForce-Growth-2Stages.for,Th01,19476,609,fixed,finite,6,28,ready_with_json_contract,5,common_block;io_write,transformed,none,,yes,yes,,1.81
