model,increment,array,component,parameter,props_index,oti_direction,oti,reference,absolute_error,relative_error,judged_by,agrees,branch
m1_elastic,7,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,8,DSIGMA_DP,1,E,1,1,0.001076923076923077,0.0010769230769234301,3.5301622736128024e-16,3.2780078254965273e-13,within_reference_resolution,True,elastic
m1_elastic,8,DSIGMA_DP,1,nu,2,2,633.7278106508876,633.7278263652971,1.5714409528300166e-05,2.479678006002844e-08,relative,True,elastic
m1_elastic,8,DSIGMA_DP,2,E,1,1,0.0004615384615384615,0.00046153846153798453,4.769405356763734e-16,1.0333711606332104e-12,within_reference_resolution,True,elastic
m1_elastic,8,DSIGMA_DP,2,nu,2,2,733.1360946745561,733.136110441516,1.576695990479493e-05,2.1506183749835493e-08,relative,True,elastic
m1_elastic,8,DSIGMA_DP,3,E,1,1,0.0004615384615384615,0.00046153846153798453,4.769405356763734e-16,1.0333711606332104e-12,within_reference_resolution,True,elastic
m1_elastic,8,DSIGMA_DP,3,nu,2,2,733.1360946745561,733.136110441516,1.576695990479493e-05,2.1506183749835493e-08,relative,True,elastic
m1_elastic,8,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,8,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,8,DSIGMA_DP,5,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,8,DSIGMA_DP,5,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,8,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,8,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,9,DSIGMA_DP,1,E,1,1,0.001211538461538461,0.0012115384615388588,3.9790219730218013e-16,3.28427210471533e-13,within_reference_resolution,True,elastic
m1_elastic,9,DSIGMA_DP,1,nu,2,2,712.9437869822485,712.9438046609001,1.767865160218207e-05,2.4796697140233415e-08,relative,True,elastic
m1_elastic,9,DSIGMA_DP,2,E,1,1,0.0005192307692307692,0.0005192307692303595,4.0972000098227213e-16,7.890903722627764e-13,within_reference_resolution,True,elastic
m1_elastic,9,DSIGMA_DP,2,nu,2,2,824.7781065088757,824.7781242467056,1.7737829921316006e-05,2.1506183784295314e-08,relative,True,elastic
m1_elastic,9,DSIGMA_DP,3,E,1,1,0.0005192307692307692,0.0005192307692303595,4.0972000098227213e-16,7.890903722627764e-13,within_reference_resolution,True,elastic
m1_elastic,9,DSIGMA_DP,3,nu,2,2,824.7781065088757,824.7781242467056,1.7737829921316006e-05,2.1506183784295314e-08,relative,True,elastic
m1_elastic,9,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,9,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,9,DSIGMA_DP,5,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,9,DSIGMA_DP,5,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,9,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,9,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,10,DSIGMA_DP,1,E,1,1,0.001346153846153846,0.0013461538461542876,4.414871246360974e-16,3.279618640152791e-13,within_reference_resolution,True,elastic
m1_elastic,10,DSIGMA_DP,1,nu,2,2,792.1597633136095,792.1597829560293,1.9642419829324353e-05,2.4796032633752946e-08,relative,True,elastic
m1_elastic,10,DSIGMA_DP,2,E,1,1,0.0005769230769230769,0.0005769230769227344,3.4249946628817085e-16,5.936657415665153e-13,within_reference_resolution,True,elastic
m1_elastic,10,DSIGMA_DP,2,nu,2,2,916.4201183431952,916.420138051895,1.9708699824150244e-05,2.150618368780781e-08,relative,True,elastic
m1_elastic,10,DSIGMA_DP,3,E,1,1,0.0005769230769230769,0.0005769230769227344,3.4249946628817085e-16,5.936657415665153e-13,within_reference_resolution,True,elastic
m1_elastic,10,DSIGMA_DP,3,nu,2,2,916.4201183431952,916.420138051895,1.9708699824150244e-05,2.150618368780781e-08,relative,True,elastic
m1_elastic,10,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,10,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,10,DSIGMA_DP,5,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,10,DSIGMA_DP,5,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,10,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,10,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,11,DSIGMA_DP,1,E,1,1,0.00148076923076923,0.0014807692307697163,4.863730945769973e-16,3.284597521817606e-13,within_reference_resolution,True,elastic
m1_elastic,11,DSIGMA_DP,1,nu,2,2,871.3757396449704,871.3757612516322,2.160666178951942e-05,2.4796032607659305e-08,relative,True,elastic
m1_elastic,11,DSIGMA_DP,2,E,1,1,0.0006346153846153845,0.0006346153846151093,2.7517051137682103e-16,4.336020179273e-13,within_reference_resolution,True,elastic
m1_elastic,11,DSIGMA_DP,2,nu,2,2,1008.062130177515,1008.0621518573214,2.167980642298062e-05,2.1506418411837294e-08,relative,True,elastic
m1_elastic,11,DSIGMA_DP,3,E,1,1,0.0006346153846153845,0.0006346153846151093,2.7517051137682103e-16,4.336020179273e-13,within_reference_resolution,True,elastic
m1_elastic,11,DSIGMA_DP,3,nu,2,2,1008.062130177515,1008.0621518573214,2.167980642298062e-05,2.1506418411837294e-08,relative,True,elastic
m1_elastic,11,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,11,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,11,DSIGMA_DP,5,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,11,DSIGMA_DP,5,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,11,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,11,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,12,DSIGMA_DP,1,E,1,1,0.001615384615384615,0.001615384615385145,5.299580219109146e-16,3.2806925165903003e-13,within_reference_resolution,True,elastic
m1_elastic,12,DSIGMA_DP,1,nu,2,2,950.5917159763313,950.5917395472352,2.3570903863401327e-05,2.4796032705510463e-08,relative,True,elastic
m1_elastic,12,DSIGMA_DP,2,E,1,1,0.0006923076923076922,0.0006923076923078227,1.3053794156725473e-16,1.885548044859991e-13,within_reference_resolution,True,elastic
m1_elastic,12,DSIGMA_DP,2,nu,2,2,1099.704142011834,1099.7041656627478,2.3650913817618857e-05,2.1506614738851512e-08,relative,True,elastic
m1_elastic,12,DSIGMA_DP,3,E,1,1,0.0006923076923076922,0.0006923076923078227,1.3053794156725473e-16,1.885548044859991e-13,within_reference_resolution,True,elastic
m1_elastic,12,DSIGMA_DP,3,nu,2,2,1099.704142011834,1099.7041656627478,2.3650913817618857e-05,2.1506614738851512e-08,relative,True,elastic
m1_elastic,12,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,12,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,12,DSIGMA_DP,5,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,12,DSIGMA_DP,5,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,12,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,12,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,13,DSIGMA_DP,1,E,1,1,0.001749999999999999,0.0017500000000005738,5.748439918518145e-16,3.2848228105807197e-13,within_reference_resolution,True,elastic
m1_elastic,13,DSIGMA_DP,1,nu,2,2,1029.807692307692,1029.8077178428382,2.5535146278343746e-05,2.4796033119496132e-08,relative,True,elastic
m1_elastic,13,DSIGMA_DP,2,E,1,1,0.0007499999999999998,0.0007500000000005359,5.361379742940819e-16,7.148506323915984e-13,within_reference_resolution,True,elastic
m1_elastic,13,DSIGMA_DP,2,nu,2,2,1191.346153846154,1191.3461794681741,2.562202007538872e-05,2.1506779907437637e-08,relative,True,elastic
m1_elastic,13,DSIGMA_DP,3,E,1,1,0.0007499999999999998,0.0007500000000005359,5.361379742940819e-16,7.148506323915984e-13,within_reference_resolution,True,elastic
m1_elastic,13,DSIGMA_DP,3,nu,2,2,1191.346153846154,1191.3461794681741,2.562202007538872e-05,2.1506779907437637e-08,relative,True,elastic
m1_elastic,13,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,13,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,13,DSIGMA_DP,5,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,13,DSIGMA_DP,5,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,13,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,13,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,14,DSIGMA_DP,1,E,1,1,0.001884615384615384,0.0018846153846160025,6.184289191857317e-16,3.281459571188521e-13,within_reference_resolution,True,elastic
m1_elastic,14,DSIGMA_DP,1,nu,2,2,1109.023668639053,1109.023696138441,2.74993878974783e-05,2.4796032756765833e-08,relative,True,elastic
m1_elastic,14,DSIGMA_DP,2,E,1,1,0.0008076923076923074,0.0008076923076932493,9.418464272381577e-16,1.1660955765792168e-12,within_reference_resolution,True,elastic
m1_elastic,14,DSIGMA_DP,2,nu,2,2,1282.988165680473,1282.9881932736005,2.7593127470026957e-05,2.1506922366621228e-08,relative,True,elastic
m1_elastic,14,DSIGMA_DP,3,E,1,1,0.0008076923076923074,0.0008076923076932493,9.418464272381577e-16,1.1660955765792168e-12,within_reference_resolution,True,elastic
m1_elastic,14,DSIGMA_DP,3,nu,2,2,1282.988165680473,1282.9881932736005,2.7593127470026957e-05,2.1506922366621228e-08,relative,True,elastic
m1_elastic,14,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,14,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,14,DSIGMA_DP,5,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,14,DSIGMA_DP,5,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,14,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,14,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,15,DSIGMA_DP,1,E,1,1,0.002019230769230768,0.0020192307692314315,6.635317295611287e-16,3.2860618987778456e-13,within_reference_resolution,True,elastic
m1_elastic,15,DSIGMA_DP,1,nu,2,2,1188.239644970414,1188.239674434044,2.9463629971360206e-05,2.4796032825106324e-08,relative,True,elastic
m1_elastic,15,DSIGMA_DP,2,E,1,1,0.0008653846153846151,0.0008653846153859625,1.347446459964985e-15,1.557049242623781e-12,within_reference_resolution,True,elastic
m1_elastic,15,DSIGMA_DP,2,nu,2,2,1374.630177514792,1374.6302070790268,2.9564234864665195e-05,2.150704583124701e-08,relative,True,elastic
m1_elastic,15,DSIGMA_DP,3,E,1,1,0.0008653846153846151,0.0008653846153859625,1.347446459964985e-15,1.557049242623781e-12,within_reference_resolution,True,elastic
m1_elastic,15,DSIGMA_DP,3,nu,2,2,1374.630177514792,1374.6302070790268,2.9564234864665195e-05,2.150704583124701e-08,relative,True,elastic
m1_elastic,15,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,15,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,15,DSIGMA_DP,5,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,15,DSIGMA_DP,5,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,15,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,15,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,16,DSIGMA_DP,1,E,1,1,0.002153846153846153,0.0021538461538468602,7.073334973295431e-16,3.284048380457516e-13,within_reference_resolution,True,elastic
m1_elastic,16,DSIGMA_DP,1,nu,2,2,1267.455621301775,1267.455652729647,3.142787204524211e-05,2.4796032884904253e-08,relative,True,elastic
m1_elastic,16,DSIGMA_DP,2,E,1,1,0.0009230769230769227,0.0009230769230786759,1.7531549129090607e-15,1.899251155647876e-12,within_reference_resolution,True,elastic
m1_elastic,16,DSIGMA_DP,2,nu,2,2,1466.272189349112,1466.2722208844532,3.1535341122435057e-05,2.1507153087448513e-08,relative,True,elastic
m1_elastic,16,DSIGMA_DP,3,E,1,1,0.0009230769230769227,0.0009230769230786759,1.7531549129090607e-15,1.899251155647876e-12,within_reference_resolution,True,elastic
m1_elastic,16,DSIGMA_DP,3,nu,2,2,1466.272189349112,1466.2722208844532,3.1535341122435057e-05,2.1507153087448513e-08,relative,True,elastic
m1_elastic,16,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,16,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,16,DSIGMA_DP,5,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,16,DSIGMA_DP,5,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,16,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,16,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic
m1_elastic,17,DSIGMA_DP,1,E,1,1,0.002288461538461537,0.002288461538462289,7.520026268359459e-16,3.2860618987778456e-13,within_reference_resolution,True,elastic
m1_elastic,17,DSIGMA_DP,1,nu,2,2,1346.671597633136,1346.6716310252498,3.339211389175034e-05,2.4796032768825918e-08,relative,True,elastic
m1_elastic,17,DSIGMA_DP,2,E,1,1,0.0009807692307692304,0.0009807692307713892,2.1588633658531364e-15,2.2011940200807065e-12,within_reference_resolution,True,elastic
m1_elastic,17,DSIGMA_DP,2,nu,2,2,1557.914201183431,1557.9142346898795,3.3506448517073295e-05,2.150724845501083e-08,relative,True,elastic
m1_elastic,17,DSIGMA_DP,3,E,1,1,0.0009807692307692304,0.0009807692307713892,2.1588633658531364e-15,2.2011940200807065e-12,within_reference_resolution,True,elastic
