model,increment,array,component,parameter,props_index,oti_direction,oti,reference,absolute_error,relative_error,judged_by,agrees,branch,branch_crossing
m3_j2,5,DSIGMA_DP,2,E,1,1,0.0002884615384615384,0.0002884615384615364,2.0057740190981832e-18,6.953349932873752e-15,within_reference_resolution,True,elastic,False
m3_j2,5,DSIGMA_DP,2,nu,2,2,458.2100591715975,458.21006902559225,9.85399475439408e-06,2.1505408589883493e-08,relative,True,elastic,False
m3_j2,5,DSIGMA_DP,2,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,5,DSIGMA_DP,2,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,5,DSIGMA_DP,3,E,1,1,0.0002884615384615384,0.0002884615384615364,2.0057740190981832e-18,6.953349932873752e-15,within_reference_resolution,True,elastic,False
m3_j2,5,DSIGMA_DP,3,nu,2,2,458.2100591715975,458.21006902559225,9.85399475439408e-06,2.1505408589883493e-08,relative,True,elastic,False
m3_j2,5,DSIGMA_DP,3,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,5,DSIGMA_DP,3,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,5,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,5,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,5,DSIGMA_DP,4,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,5,DSIGMA_DP,4,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,5,DSIGMA_DP,5,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,5,DSIGMA_DP,5,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,5,DSIGMA_DP,5,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,5,DSIGMA_DP,5,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,5,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,5,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,5,DSIGMA_DP,6,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,5,DSIGMA_DP,6,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,1,E,1,1,0.0008076923076923077,0.0008076923076925725,2.6487059073820873e-16,3.279350171043414e-13,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,1,nu,2,2,475.2958579881656,475.29586977314386,1.1784978255491296e-05,2.4795036113223962e-08,relative,True,elastic,False
m3_j2,6,DSIGMA_DP,1,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,1,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,2,E,1,1,0.0003461538461538461,0.00034615384615391135,6.526897078362737e-17,1.885548044859991e-13,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,2,nu,2,2,549.8520710059171,549.8520828306633,1.182474625238683e-05,2.1505322288700814e-08,relative,True,elastic,False
m3_j2,6,DSIGMA_DP,2,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,2,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,3,E,1,1,0.0003461538461538461,0.00034615384615391135,6.526897078362737e-17,1.885548044859991e-13,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,3,nu,2,2,549.8520710059171,549.8520828306633,1.182474625238683e-05,2.1505322288700814e-08,relative,True,elastic,False
m3_j2,6,DSIGMA_DP,3,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,3,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,4,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,4,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,5,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,5,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,5,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,5,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,6,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,6,DSIGMA_DP,6,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,1,E,1,1,0.0009423076923076923,0.0009423076923080013,3.0899761915836876e-16,3.2791584073938584e-13,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,1,nu,2,2,554.5118343195265,554.5118480687469,1.3749220329373202e-05,2.479517863731671e-08,relative,True,elastic,False
m3_j2,7,DSIGMA_DP,1,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,1,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,2,E,1,1,0.0004038461538461538,0.00040384615384628626,1.3248950547772864e-16,3.2806925165903003e-13,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,2,nu,2,2,641.4940828402366,641.4940966356161,1.3795379459224932e-05,2.1505076245559024e-08,relative,True,elastic,False
m3_j2,7,DSIGMA_DP,2,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,2,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,3,E,1,1,0.0004038461538461538,0.00040384615384628626,1.3248950547772864e-16,3.2806925165903003e-13,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,3,nu,2,2,641.4940828402366,641.4940966356161,1.3795379459224932e-05,2.1505076245559024e-08,relative,True,elastic,False
m3_j2,7,DSIGMA_DP,3,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,3,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,4,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,4,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,5,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,5,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,5,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,5,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,6,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,7,DSIGMA_DP,6,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,8,DSIGMA_DP,1,E,1,1,0.001076923076923077,0.0010769230769234301,3.5301622736128024e-16,3.2780078254965273e-13,within_reference_resolution,True,elastic,False
m3_j2,8,DSIGMA_DP,1,nu,2,2,633.7278106508875,633.7278263643498,1.571346228956827e-05,2.4795285350992483e-08,relative,True,elastic,False
m3_j2,8,DSIGMA_DP,1,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,8,DSIGMA_DP,1,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,8,DSIGMA_DP,2,E,1,1,0.0004615384615384615,0.00046153846153866124,1.997642502804542e-16,4.3282254227413013e-13,within_reference_resolution,True,elastic,False
m3_j2,8,DSIGMA_DP,2,nu,2,2,733.1360946745561,733.1361104408055,1.576624936205917e-05,2.1505214567291676e-08,relative,True,elastic,False
m3_j2,8,DSIGMA_DP,2,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,8,DSIGMA_DP,2,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,8,DSIGMA_DP,3,E,1,1,0.0004615384615384615,0.00046153846153866124,1.997642502804542e-16,4.3282254227413013e-13,within_reference_resolution,True,elastic,False
m3_j2,8,DSIGMA_DP,3,nu,2,2,733.1360946745561,733.1361104408055,1.576624936205917e-05,2.1505214567291676e-08,relative,True,elastic,False
m3_j2,8,DSIGMA_DP,3,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,8,DSIGMA_DP,3,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,8,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,8,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,8,DSIGMA_DP,4,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,8,DSIGMA_DP,4,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,8,DSIGMA_DP,5,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,8,DSIGMA_DP,5,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,8,DSIGMA_DP,5,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
