increment,stress_component,method,E,NU,SIGY0,H
10,5,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
10,6,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
11,1,oti,  1.382161113923873E-03,  1.373898290165557E+03,  6.609385327164573E-01,  1.092099360073433E-05
11,2,oti,  1.371419443038063E-03,  1.375550854917220E+03, -3.304692663582287E-01, -5.460496800367164E-06
11,3,oti,  1.371419443038063E-03,  1.375550854917220E+03, -3.304692663582287E-01, -5.460496800367164E-06
11,4,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
11,5,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
11,6,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
12,1,oti,  1.507166792840546E-03,  1.498897416486069E+03,  6.609385327164573E-01,  7.644695520514201E-05
12,2,oti,  1.496416603579727E-03,  1.500551291756964E+03, -3.304692663582287E-01, -3.822347760257101E-05
12,3,oti,  1.496416603579727E-03,  1.500551291756964E+03, -3.304692663582287E-01, -3.822347760257101E-05
12,4,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
12,5,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
12,6,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
13,1,oti,  1.632172471757218E-03,  1.623896542806581E+03,  6.609385327164572E-01,  1.419729168095496E-04
13,2,oti,  1.621413764121390E-03,  1.625551728596708E+03, -3.304692663582286E-01, -7.098645840477482E-05
13,3,oti,  1.621413764121390E-03,  1.625551728596708E+03, -3.304692663582286E-01, -7.098645840477482E-05
13,4,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
13,5,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
13,6,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
14,1,oti,  1.757178150673891E-03,  1.748895669127093E+03,  6.609385327164575E-01,  2.074988784139573E-04
14,2,oti,  1.746410924663054E-03,  1.750552165436452E+03, -3.304692663582288E-01, -1.037494392069787E-04
14,3,oti,  1.746410924663054E-03,  1.750552165436452E+03, -3.304692663582288E-01, -1.037494392069787E-04
14,4,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
14,5,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
14,6,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
15,1,oti,  1.882183829590563E-03,  1.873894795447605E+03,  6.609385327164573E-01,  2.730248400183648E-04
15,2,oti,  1.871408085204718E-03,  1.875552602276196E+03, -3.304692663582287E-01, -1.365124200091824E-04
15,3,oti,  1.871408085204718E-03,  1.875552602276196E+03, -3.304692663582287E-01, -1.365124200091824E-04
15,4,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
15,5,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
15,6,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
