increment,stress_component,method,E,NU,SIGY0,H
13,6,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
14,1,centered_fd,1.7571781510e-03,1.7488956690e+03,6.6093853275e-01,2.0749885721e-04
14,2,centered_fd,1.7464109250e-03,1.7505521654e+03,-3.3046926637e-01,-1.0374942860e-04
14,3,centered_fd,1.7464109250e-03,1.7505521654e+03,-3.3046926637e-01,-1.0374942860e-04
14,4,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
14,5,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
14,6,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
15,1,centered_fd,1.8821838296e-03,1.8738947954e+03,6.6093853275e-01,2.7302485250e-04
15,2,centered_fd,1.8714080855e-03,1.8755526022e+03,-3.3046926637e-01,-1.3651242625e-04
15,3,centered_fd,1.8714080855e-03,1.8755526022e+03,-3.3046926637e-01,-1.3651242625e-04
15,4,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
15,5,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
15,6,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
16,1,centered_fd,2.0071895088e-03,1.9988939217e+03,6.6093853275e-01,3.3855081938e-04
16,2,centered_fd,1.9964052458e-03,2.0005530391e+03,-3.3046926637e-01,-1.6927540969e-04
16,3,centered_fd,1.9964052458e-03,2.0005530391e+03,-3.3046926637e-01,-1.6927540969e-04
16,4,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
16,5,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
16,6,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
17,1,centered_fd,2.1321951877e-03,2.1238930481e+03,6.6093853275e-01,4.0407675783e-04
17,2,centered_fd,2.1214024063e-03,2.1255534759e+03,-3.3046926637e-01,-2.0203837892e-04
17,3,centered_fd,2.1214024063e-03,2.1255534759e+03,-3.3046926637e-01,-2.0203837892e-04
17,4,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
17,5,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
17,6,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
18,1,centered_fd,2.2572008663e-03,2.2488921744e+03,6.6093853275e-01,4.6960272471e-04
18,2,centered_fd,2.2463995670e-03,2.2505539127e+03,-3.3046926637e-01,-2.3480136235e-04
18,3,centered_fd,2.2463995670e-03,2.2505539127e+03,-3.3046926637e-01,-2.3480136235e-04
18,4,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
18,5,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
18,6,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
19,1,centered_fd,2.3822065452e-03,2.3738913007e+03,6.6093853252e-01,5.3512869158e-04
19,2,centered_fd,2.3713967275e-03,2.3755543496e+03,-3.3046926626e-01,-2.6756434579e-04
19,3,centered_fd,2.3713967275e-03,2.3755543496e+03,-3.3046926626e-01,-2.6756434579e-04
19,4,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
19,5,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
19,6,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
20,1,centered_fd,2.5072122244e-03,2.4988904270e+03,6.6093853252e-01,6.0065465846e-04
20,2,centered_fd,2.4963938878e-03,2.5005547865e+03,-3.3046926626e-01,-3.0032732923e-04
20,3,centered_fd,2.4963938878e-03,2.5005547865e+03,-3.3046926626e-01,-3.0032732923e-04
20,4,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
20,5,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
20,6,centered_fd,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
