increment,array,row,parameter,oti,fd,abs_diff,rel_diff
4,DSIGMA_DP,2,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
4,DSIGMA_DP,3,E,3.4615384615e-04,3.4615384617e-04,1.615e-14,1.615e-14
4,DSIGMA_DP,3,NU,5.2366863905e+02,5.2366863905e+02,3.254e-09,6.214e-12
4,DSIGMA_DP,3,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
4,DSIGMA_DP,3,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
4,DSIGMA_DP,4,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
4,DSIGMA_DP,4,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
4,DSIGMA_DP,4,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
4,DSIGMA_DP,4,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
4,DSIGMA_DP,5,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
4,DSIGMA_DP,5,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
4,DSIGMA_DP,5,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
4,DSIGMA_DP,5,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
4,DSIGMA_DP,6,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
4,DSIGMA_DP,6,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
4,DSIGMA_DP,6,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
4,DSIGMA_DP,6,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
5,DSIGMA_DP,1,E,1.0096153846e-03,1.0096153846e-03,1.538e-14,1.538e-14
5,DSIGMA_DP,1,NU,5.6582840237e+02,5.6582840239e+02,2.314e-08,4.089e-11
5,DSIGMA_DP,1,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
5,DSIGMA_DP,1,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
5,DSIGMA_DP,2,E,4.3269230769e-04,4.3269230773e-04,3.769e-14,3.769e-14
5,DSIGMA_DP,2,NU,6.5458579882e+02,6.5458579882e+02,3.432e-09,5.243e-12
5,DSIGMA_DP,2,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
5,DSIGMA_DP,2,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
5,DSIGMA_DP,3,E,4.3269230769e-04,4.3269230773e-04,3.769e-14,3.769e-14
5,DSIGMA_DP,3,NU,6.5458579882e+02,6.5458579882e+02,3.432e-09,5.243e-12
5,DSIGMA_DP,3,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
5,DSIGMA_DP,3,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
5,DSIGMA_DP,4,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
5,DSIGMA_DP,4,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
5,DSIGMA_DP,4,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
5,DSIGMA_DP,4,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
5,DSIGMA_DP,5,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
5,DSIGMA_DP,5,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
5,DSIGMA_DP,5,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
5,DSIGMA_DP,5,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
5,DSIGMA_DP,6,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
5,DSIGMA_DP,6,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
5,DSIGMA_DP,6,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
5,DSIGMA_DP,6,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
6,DSIGMA_DP,1,E,1.2115384615e-03,1.2115384615e-03,3.846e-14,3.846e-14
6,DSIGMA_DP,1,NU,6.7899408284e+02,6.7899408286e+02,1.976e-08,2.911e-11
6,DSIGMA_DP,1,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
6,DSIGMA_DP,1,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
6,DSIGMA_DP,2,E,5.1923076923e-04,5.1923076928e-04,4.923e-14,4.923e-14
6,DSIGMA_DP,2,NU,7.8550295858e+02,7.8550295859e+02,1.012e-08,1.288e-11
6,DSIGMA_DP,2,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
6,DSIGMA_DP,2,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
6,DSIGMA_DP,3,E,5.1923076923e-04,5.1923076928e-04,4.923e-14,4.923e-14
6,DSIGMA_DP,3,NU,7.8550295858e+02,7.8550295859e+02,1.012e-08,1.288e-11
6,DSIGMA_DP,3,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
6,DSIGMA_DP,3,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
6,DSIGMA_DP,4,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
6,DSIGMA_DP,4,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
6,DSIGMA_DP,4,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
6,DSIGMA_DP,4,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
6,DSIGMA_DP,5,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
6,DSIGMA_DP,5,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
6,DSIGMA_DP,5,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
6,DSIGMA_DP,5,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
6,DSIGMA_DP,6,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
6,DSIGMA_DP,6,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
6,DSIGMA_DP,6,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
6,DSIGMA_DP,6,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
7,DSIGMA_DP,1,E,1.4134615385e-03,1.4134615384e-03,6.154e-14,6.154e-14
7,DSIGMA_DP,1,NU,7.9215976331e+02,7.9215976334e+02,2.639e-08,3.332e-11
7,DSIGMA_DP,1,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
